sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty
Εμείς που θέλαμε να σώσουμε την ανθρωπότητα πάθαμε πολύ χειρότερα.	πάθαμε	7			Εμείς	0	{'Case': 'Nom', 'Number': 'Plur', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	πάθαμε	7	{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'παθαίνω'}	VERB	7	[{'id': 3, 'form': 'θέλαμε', 'lemma': 'θέλω', 'upos': 'VERB', 'xpos': 'VbMn', 'feats': {'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'θέλω'}, 'head': 1, 'deprel': 'acl:relcl', 'deps': None, 'misc': None}, {'id': 5, 'form': 'σώσουμε', 'lemma': 'σώζω', 'upos': 'VERB', 'xpos': 'VbMn', 'feats': {'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'VerbForm': 'Fin', 'Voice': 'Act'}, 'head': 3, 'deprel': 'ccomp', 'deps': None, 'misc': None}]	{'sent_id': '1535', 'text': 'Εμείς που θέλαμε να σώσουμε την ανθρωπότητα πάθαμε πολύ χειρότερα.', 'treebank': 'UD_Greek-GUD/el_gud-ud-train.conllu'}	πάθετε	1 -> 2	Εμείς που θέλαμε να σώσουμε την ανθρωπότητα	Εμείς που θέλαμε να σώσουμε την ανθρωπότητα πάθετε πολύ χειρότερα.	[{'id': 3, 'form': 'θέλαμε', 'lemma': 'θέλω', 'upos': 'VERB', 'xpos': 'VbMn', 'feats': {'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'θέλω'}, 'head': 1, 'deprel': 'acl:relcl', 'deps': None, 'misc': None}, {'id': 5, 'form': 'σώσουμε', 'lemma': 'σώζω', 'upos': 'VERB', 'xpos': 'VbMn', 'feats': {'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'VerbForm': 'Fin', 'Voice': 'Act'}, 'head': 3, 'deprel': 'ccomp', 'deps': None, 'misc': None}]	[]	2	2	0	True	True	False	0.66017417222838	SV-P	ell	1	2	SV	verb	~
« Εγώ , κόρη μου , είμαι μια απλή νοικοκυρά ».	είμαι	6			Εγώ	1	{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	είμαι	6	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Pass', 'lemma': 'είμαι', 'Gender': 'Fem'}	VERB	5	[{'id': 5, 'form': 'μου', 'lemma': 'μου', 'upos': 'PRON', 'xpos': 'PnPo', 'feats': {'Case': 'Gen', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '1', 'Poss': 'Yes', 'PronType': 'Prs'}, 'head': 4, 'deprel': 'nmod', 'deps': None, 'misc': None}]	{'sent_id': '513', 'text': '« Εγώ , κόρη μου , είμαι μια απλή νοικοκυρά ».', 'treebank': 'UD_Greek-GUD/el_gud-ud-train.conllu'}	είσαι	1 -> 2	« Εγώ , κόρη μου ,	« Εγώ , κόρη μου , είσαι μια απλή νοικοκυρά ».	[{'id': 5, 'form': 'μου', 'lemma': 'μου', 'upos': 'PRON', 'xpos': 'PnPo', 'feats': {'Case': 'Gen', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '1', 'Poss': 'Yes', 'PronType': 'Prs'}, 'head': 4, 'deprel': 'nmod', 'deps': None, 'misc': None}]	[]	1	1	0	True	True	False	0.33008708611419	SV-P	ell	1	2	SV	verb	~
Ο Σωτήρης έκανε μια ντρίπλα σ τον έναν και τον έριξε χάμω , ενώ εμείς οι άλλοι κρατήσαμε τον κολλητό του , ώσπου οι μπάτσοι τούς μπαγλάρωσαν.	κρατήσαμε	17			εμείς	14	{'Case': 'Nom', 'Number': 'Plur', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	κρατήσαμε	17	{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'κρατώ'}	VERB	3	[]	{'sent_id': '2507', 'text': 'Ο Σωτήρης έκανε μια ντρίπλα σ τον έναν και τον έριξε χάμω , ενώ εμείς οι άλλοι κρατήσαμε τον κολλητό του , ώσπου οι μπάτσοι τούς μπαγλάρωσαν.', 'treebank': 'UD_Greek-GUD/el_gud-ud-test.conllu'}	κρατήσετε	1 -> 2	Ο Σωτήρης έκανε μια ντρίπλα σ τον έναν και τον έριξε χάμω , ενώ εμείς οι άλλοι	Ο Σωτήρης έκανε μια ντρίπλα σ τον έναν και τον έριξε χάμω , ενώ εμείς οι άλλοι κρατήσετε τον κολλητό του , ώσπου οι μπάτσοι τούς μπαγλάρωσαν.	[]	[]	0	0	0	False	False	False	0.0050701376427139	SV-P	ell	1	2	SV	verb	~
Εμείς που θέλαμε να σώσουμε την ανθρωπότητα πάθαμε πολύ χειρότερα.	θέλαμε	2			που	1	{'Case': 'Nom', 'Number': 'Plur', 'PronType': 'Rel', 'lemma': 'που'}	PRON	θέλαμε	2	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'θέλω'}	VERB	1	[]	{'sent_id': '1535', 'text': 'Εμείς που θέλαμε να σώσουμε την ανθρωπότητα πάθαμε πολύ χειρότερα.', 'treebank': 'UD_Greek-GUD/el_gud-ud-train.conllu'}	θέλατε	1 -> 2	Εμείς που	Εμείς που θέλατε να σώσουμε την ανθρωπότητα πάθαμε πολύ χειρότερα.	[]	[]	0	0	0	False	False	False	0.0004875132348763	SV-P	ell	1	2	SV	verb	~
Η ανομία και η αταξία στρέφουν την προσοχή των ξένων πάνω σ τη χώρα και αυτό δε μας συμφέρει , γιατί εμείς δε θέλουμε να βγαίνουμε από το περιθώριο.	θέλουμε	23			εμείς	21	{'Case': 'Nom', 'Number': 'Plur', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	θέλουμε	23	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'θέλω'}	VERB	2	[]	{'sent_id': '24', 'text': 'Η ανομία και η αταξία στρέφουν την προσοχή των ξένων πάνω σ τη χώρα και αυτό δε μας συμφέρει , γιατί εμείς δε θέλουμε να βγαίνουμε από το περιθώριο.', 'treebank': 'UD_Greek-GUD/el_gud-ud-train.conllu'}	θέλετε	1 -> 2	Η ανομία και η αταξία στρέφουν την προσοχή των ξένων πάνω σ τη χώρα και αυτό δε μας συμφέρει , γιατί εμείς δε	Η ανομία και η αταξία στρέφουν την προσοχή των ξένων πάνω σ τη χώρα και αυτό δε μας συμφέρει , γιατί εμείς δε θέλετε να βγαίνουμε από το περιθώριο.	[]	[]	0	0	0	False	False	False	0.000460921603883	SV-P	ell	1	2	SV	verb	~
« Εμείς έχουμε λίγα λεφτά για φαγητό ».	έχουμε	2			Εμείς	1	{'Case': 'Nom', 'Number': 'Plur', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	έχουμε	2	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω'}	VERB	1	[]	{'sent_id': '2539', 'text': '« Εμείς έχουμε λίγα λεφτά για φαγητό ».', 'treebank': 'UD_Greek-GUD/el_gud-ud-train.conllu'}	έχετε	1 -> 2	« Εμείς	« Εμείς έχετε λίγα λεφτά για φαγητό ».	[]	[]	0	0	0	False	False	False	0.0006500176465017	SV-P	ell	1	2	SV	verb	~
« Εγώ το άκουσα σ τη λαχαναγορά » συμπληρώνει ο Σαμίρ.	άκουσα	3			Εγώ	1	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	άκουσα	3	{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'ακούω', 'Gender': 'Masc'}	VERB	2	[]	{'sent_id': '2561', 'text': '« Εγώ το άκουσα σ τη λαχαναγορά » συμπληρώνει ο Σαμίρ.', 'treebank': 'UD_Greek-GUD/el_gud-ud-train.conllu'}	ακούσεις	1 -> 2	« Εγώ το	« Εγώ το ακούσεις σ τη λαχαναγορά » συμπληρώνει ο Σαμίρ.	[]	[]	0	0	0	False	False	False	0.0001920506682846	SV-P	ell	1	2	SV	verb	~
Πίνει μια γουλιά τσάι, για να καταπιεί την πίκρα του, ενώ εγώ δεν ξέρω τι να του πω.	ξέρω	15			εγώ	13	{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	ξέρω	15	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'ξέρω'}	VERB	2	[]	{'sent_id': '6076', 'text': 'Πίνει μια γουλιά τσάι, για να καταπιεί την πίκρα του, ενώ εγώ δεν ξέρω τι να του πω.', 'treebank': 'UD_Greek-GUD/el_gud-ud-train.conllu'}	ξέρεις	1 -> 2	Πίνει μια γουλιά τσάι, για να καταπιεί την πίκρα του, ενώ εγώ δεν	Πίνει μια γουλιά τσάι, για να καταπιεί την πίκρα του, ενώ εγώ δεν ξέρεις τι να του πω.	[]	[]	0	0	0	False	False	False	0.0005761520048538	SV-P	ell	1	2	SV	verb	~
Εμείς επισκεφθήκαμε τη Μονή της Παναγίας σ τη Χρυσοπηγή και την εκκλησία του Αγίου Συμεών σ τις Καμάρες, το λευκό χρώμα των οποίων συνδυάζεται αρμονικά με το γαλάζιο του Αιγαίου.	επισκεφθήκαμε	1			Εμείς	0	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Plur', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	επισκεφθήκαμε	1	{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Pass', 'lemma': 'επισκέπτομαι', 'Gender': 'Masc'}	VERB	1	[]	{'sent_id': 'gdt-20050425-ert-tourism_menoumellada_contents-5', 'text': 'Εμείς επισκεφθήκαμε τη Μονή της Παναγίας στη Χρυσοπηγή και την εκκλησία του Αγίου Συμεών στις Καμάρες, το λευκό χρώμα των οποίων συνδυάζεται αρμονικά με το γαλάζιο του Αιγαίου.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-train.conllu'}	επισκεφθείτε	1 -> 2	Εμείς	Εμείς επισκεφθείτε τη Μονή της Παναγίας σ τη Χρυσοπηγή και την εκκλησία του Αγίου Συμεών σ τις Καμάρες, το λευκό χρώμα των οποίων συνδυάζεται αρμονικά με το γαλάζιο του Αιγαίου.	[]	[]	0	0	0	False	False	False	0.0006500176465017	SV-P	ell	1	2	SV	verb	~
Τώρα , αν εγώ θέλω να παραιτηθώ , επειδή είμαι ξεροκέφαλος ή μη μου άπτου , είναι δικό μου θέμα.	θέλω	4			εγώ	3	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs', 'lemma': 'εγώ'}	PRON	θέλω	4	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'θέλω', 'Gender': 'Masc'}	VERB	1	[]	{'sent_id': '47', 'text': 'Τώρα , αν εγώ θέλω να παραιτηθώ , επειδή είμαι ξεροκέφαλος ή μη μου άπτου , είναι δικό μου θέμα.', 'treebank': 'UD_Greek-GUD/el_gud-ud-train.conllu'}	θέλεις	1 -> 2	Τώρα , αν εγώ	Τώρα , αν εγώ θέλεις να παραιτηθώ , επειδή είμαι ξεροκέφαλος ή μη μου άπτου , είναι δικό μου θέμα.	[]	[]	0	0	0	False	False	False	0.0004875132348763	SV-P	ell	1	2	SV	verb	~
