model,checkpoint,l1,l2,biling_cond,l1_acc,l2_acc
catherinearnett/B-GPT_en_nl_simultaneous,0,eng,nld,simultaneous,0.6350649350649351,0.5444015444015444
catherinearnett/B-GPT_en_nl_simultaneous,10000,eng,nld,simultaneous,0.9181818181818182,0.6066066066066066
catherinearnett/B-GPT_en_nl_simultaneous,20000,eng,nld,simultaneous,0.9506493506493506,0.5907335907335908
catherinearnett/B-GPT_en_nl_simultaneous,30000,eng,nld,simultaneous,0.964935064935065,0.6387816387816387
catherinearnett/B-GPT_en_nl_simultaneous,40000,eng,nld,simultaneous,0.9597402597402598,0.6246246246246246
catherinearnett/B-GPT_en_nl_simultaneous,50000,eng,nld,simultaneous,0.9636363636363636,0.6336336336336337
catherinearnett/B-GPT_en_nl_simultaneous,64000,eng,nld,simultaneous,0.9714285714285714,0.6083226083226083
catherinearnett/B-GPT_en_nl_simultaneous,64010,eng,nld,simultaneous,0.9688311688311688,0.6615186615186616
catherinearnett/B-GPT_en_nl_simultaneous,64020,eng,nld,simultaneous,0.9662337662337662,0.6696696696696697
catherinearnett/B-GPT_en_nl_simultaneous,64030,eng,nld,simultaneous,0.9623376623376624,0.6812526812526812
catherinearnett/B-GPT_en_nl_simultaneous,64040,eng,nld,simultaneous,0.961038961038961,0.6992706992706993
catherinearnett/B-GPT_en_nl_simultaneous,64050,eng,nld,simultaneous,0.9584415584415584,0.706992706992707
catherinearnett/B-GPT_en_nl_simultaneous,64060,eng,nld,simultaneous,0.961038961038961,0.7095667095667095
catherinearnett/B-GPT_en_nl_simultaneous,64070,eng,nld,simultaneous,0.961038961038961,0.7228657228657228
catherinearnett/B-GPT_en_nl_simultaneous,64080,eng,nld,simultaneous,0.961038961038961,0.728013728013728
catherinearnett/B-GPT_en_nl_simultaneous,64090,eng,nld,simultaneous,0.9597402597402598,0.7301587301587301
catherinearnett/B-GPT_en_nl_simultaneous,64100,eng,nld,simultaneous,0.964935064935065,0.7318747318747318
catherinearnett/B-GPT_en_nl_simultaneous,64110,eng,nld,simultaneous,0.9662337662337662,0.7271557271557272
catherinearnett/B-GPT_en_nl_simultaneous,64120,eng,nld,simultaneous,0.9675324675324676,0.7327327327327328
catherinearnett/B-GPT_en_nl_simultaneous,64130,eng,nld,simultaneous,0.9675324675324676,0.734019734019734
catherinearnett/B-GPT_en_nl_simultaneous,64140,eng,nld,simultaneous,0.9688311688311688,0.7438867438867439
catherinearnett/B-GPT_en_nl_simultaneous,64150,eng,nld,simultaneous,0.9675324675324676,0.7383097383097383
catherinearnett/B-GPT_en_nl_simultaneous,64160,eng,nld,simultaneous,0.9688311688311688,0.7361647361647362
catherinearnett/B-GPT_en_nl_simultaneous,64170,eng,nld,simultaneous,0.9688311688311688,0.7383097383097383
catherinearnett/B-GPT_en_nl_simultaneous,64180,eng,nld,simultaneous,0.9662337662337662,0.7443157443157443
catherinearnett/B-GPT_en_nl_simultaneous,64190,eng,nld,simultaneous,0.961038961038961,0.7443157443157443
catherinearnett/B-GPT_en_nl_simultaneous,64200,eng,nld,simultaneous,0.9636363636363636,0.7443157443157443
catherinearnett/B-GPT_en_nl_simultaneous,64300,eng,nld,simultaneous,0.961038961038961,0.767052767052767
catherinearnett/B-GPT_en_nl_simultaneous,64400,eng,nld,simultaneous,0.9662337662337662,0.7769197769197769
catherinearnett/B-GPT_en_nl_simultaneous,64500,eng,nld,simultaneous,0.9688311688311688,0.7915057915057915
catherinearnett/B-GPT_en_nl_simultaneous,64600,eng,nld,simultaneous,0.9623376623376624,0.8009438009438009
catherinearnett/B-GPT_en_nl_simultaneous,64700,eng,nld,simultaneous,0.9688311688311688,0.8181038181038182
catherinearnett/B-GPT_en_nl_simultaneous,64800,eng,nld,simultaneous,0.9597402597402598,0.8198198198198198
catherinearnett/B-GPT_en_nl_simultaneous,64900,eng,nld,simultaneous,0.9597402597402598,0.8356928356928357
catherinearnett/B-GPT_en_nl_simultaneous,65000,eng,nld,simultaneous,0.9584415584415584,0.8442728442728443
catherinearnett/B-GPT_en_nl_simultaneous,66000,eng,nld,simultaneous,0.9584415584415584,0.8734448734448734
